review,sentiment
"I first saw Jake Gyllenhaal in Jarhead (2005) a little while back and, since then, I've been watching every one of his movies that arrives on my radar screen. Like Clive Owen, he has an intensity (and he even resembles Owen somewhat) that just oozes from the screen. I feel sure that, if he lands some meaty roles, he'll crack an Oscar one day...<br /><br />That's not to denigrate this film at all.<br /><br />It's a fine story, with very believable people (well, it's based upon the author's early shenanigans with rocketry), a great cast  Chris Cooper is always good, and Laura Dern is always on my watch list  with the appropriate mix of humor, pathos, excitement...and the great sound track with so many rock n roll oldies to get the feet tapping.<br /><br />But, this film had a very special significance for me: in 1957, I was the same age as Homer Hickham; like him, I looked up at the night stars to watch Sputnik as it scudded across the blackness; like Homer also, I experimented with rocketry in my backyard and used even the exact same chemicals for fuel; and like Homer, I also had most of my attempts end in explosive disaster! What fun it was...<br /><br />I didn't achieve his great (metaphorical and physical) heights though. But, that's what you find out when you see this movie.<br /><br />Sure, it's a basic family movie, but that's a dying breed these days, it seems. Take the time to see it, with the kids: you'll all have a lot of good laughs.",positive
"I enjoyed the movie and the story immensely! I have seen the original(1939 I believe) and enjoyed them both. To really appreciate the story one must be familiar with English culture and customs. The prof.(Peter O'Toole) was dedicated to his school and ""the boys"" in that school. It was an English ""public"" school, which we in the U.S. refer to as a private school (E.G. Andover). He is a very ascetic person and, on the surface, gives the appearance of being stiff, stuffy, uncaring, and weak to the point of being effeminate. He is strict in his educational standards because he DOES care for ""his lads"", i.e., he doesn't want them to get a cheap or weak education. He meets(through introduction) a ""dance hall girl""(Petula Clark) and is totally smitten. In England at the time, the reference to ""dance hall"" carried the connotation of extreme sexual promiscuity and was definitely ""lower class"". We find that the Prof. is in fact a very tough and courageous person as well as loyal to people and institutions that he loves and/or respects. Clark becomes more than a lover and wife...she ""leavens"" his personality and allows him to grow as a man and a person, much to the benefit of his beloved school and his own happiness. The first movie was set BEFORE WW II, this one goes through WW II, also, it is 1969( we've had the ""British Invasion""...Beetles, etc. Clark had hits and was very popular then...still is to me), the music is great, color and photography excellent. I think O'Toole played the character perfectly! There ARE dedicated people like ""Chips""...all around us but many do not receive the recognition. Very enjoyable movie and story!",positive
"I had a hard time sitting through this. Every single twist and turn is predictable. You're sitting there just waiting for it ... waiting for it ... and yes, there it is! Just as you predicted at the very beginning of the movie. Or 10 minutes out. Et cetera. <br /><br />Smart writing? No. <br /><br />Torture porn? No, there's no nudity. Other reviews calling this torture porn are most likely written by people on heavy drugs. Unfortunately there's no torture and no nudity (yes, no nudity).<br /><br />There's no suspense at all in this ""thriller"". The only good part about this movie is the ending, but I'm not going to spoil that.<br /><br />I'm giving it a 2/10. A 1/10 would be a horrible B-movie. This movie had better acting.",negative
"It's hard to imagine that anyone could find this short their favorite if they have seen most of their shorts, but I know that humor is VERY subjective. I have seen all of their sound shorts (by far the best of their stuff IMO) and I found this one of their weaker efforts.<br /><br />In the year this was made (1930) Stan and Babe made 15 shorts and one feature. They were extremely popular and their boss Hal Roach took full advantage by keeping them working constantly. In addition, this was a time of experimentation for the writers and Stan. I would say this was an experiment that really did not work. As someone else said, it does not play to their strengths. Too much dialog and plot.<br /><br />The best part of this one for me is the largely improvised sequence with Stan as Agnes the maid and the great Thelma Todd talking about ""girl"" stuff.<br /><br />If you really want to see the boys at their most creative and funny check out Blotto, or Brats From the same year.<br /><br />They made so many shorts in such a short time that I think they can be forgiven for turning out a few less then par shorts. They made something like 108 films altogether. Very few (except for the ones made at FOX) were outright failures but there are some. County Hospital, Me And My Pal, The Live Ghost, The Fixer Uppers come to mind as essentially weak ones. But other then those I find something wonderful in just about all their shorts. Quite a record in my book.<br /><br />If you have seen and enjoyed all their other shorts then by all means check this one out, but I would be willing to bet that this one was less then memorable to Stan and Babe.",negative
"This is one military drama I like a lot! Tom Berenger playing military assassin Thomas Beckett. This Marine is no-nonsense, in your face, and no questions asked kind of person who gets the job done. There you have Billy Zane(""The Phantom"" and others) who plays Richard Miller, a former SWAT form D.C., works for the government and takes orders only from them. Who needs a bureaucrat? I don't! When these two are paired, sparks should be flying. And how. However, Beckett teaches the young bureaucrat on how it works. When the other sniper hits, it's wits vs. wits, cat vs. mouse, gunman vs. gunman. And when the seasoned sniper is caught, it's up to Miller to put politics aside and save him. Who needs politics when you a pro like Beckett, he took orders from no one but himself, plays by the rules and not the book, and mutual respect is brought out despite the politics. The movie was a direct hit. Watch it. Rating 4 out of 5 stars.",positive
"First separate the story from the film. The story about a second continuing war in heaven is good, very good. Religious themed films aren't the main choice for a lot of people but angels at war is. I really loved the story, and some of the imagery provided to back it up like the field of angels on spikes....awesome imagery. The actual film though was just poor, i can't find any reason for the main character - the priest-cum-cop being in there at all. The lead female also...no reason to be there, the main characters dialogue was just empty, it had no substance, the story could have been told well without them. Now, some sterling performances did feature, Walken, Stoltz and Mortensen pulled off some wingers, though their scenes were mostly with the lifeless leads.<br /><br />One other thing i am not getting from this film is why it features native American rituals to purge the dark soul. The child that carries it is clearly of native American origin but apart from the end scenario there is nothing that connects here with that heritage. The plot concerning the dark soul itself it barely told, odd considering that the dark soul is the driver for the whole premise of the film. The back story of its original owner (the colonel) is briefly touched but not enough to allow understanding as to why its his soul that is the special one.<br /><br />I cannot find a justification for the scrolling scenery shots in this film either, several of the plains around 'chimney rock'. I get the feeling they had a helicopter and wanted to make the most of it as none of the shots have any relevance, nor are they in keeping with the mood -> Horror. The film falls into the sci-fi category more than it does horror. There was no real shock or scare scenes, some mild gore and blood but no fear element.<br /><br />So, aside from 3 roles played damn well this film is a big ole' dud. Unfortunately the dud factor outweighs the good acting factor, just too many weekend actors.",negative
"This production has absolutely no storyline. The acting is embarrassing. The promising Dutch television Sophie Hilbrand star should not add this movie to her CV. Her acting is far from flawless and personally I think she has crossed boundary of professional decency; relating to the way she exposes herself in this movie. This movie contains too much unnecessary nudity, vulgar sexual scenes and rude language. It also shows a wrong image of the Netherlands (as most movies do). Do not bother to watch this movie: a waste of time, a waste of money and an embarrassing record for Hilbrand, who has proved to be better with her close on on the screen.",negative
"Saw this a couple times on the Sundance Channel several years ago and received a nice cinematic jolt to the system. A semi-surreal yet hard edged take on modern media culture (or the lack of it), focusing on some seriously wacked, way-beyond-the-Hollywood-fringe dwellers. It had an amusing early performance from Mark Ruffalo, and some memorable cinematography from the DP who did the Polish Brothers movies. There was a savage umcompromising humor and a weirdly original feel to it that definitely set it apart. This film had cult classic written all over it, and I'm surprised it's not yet out on DVD. <br /><br />Hopefully soon.",positive
"Greetings again from the darkness. Director Alejandro Amenabar creates life against all odds in this based on a true story version of one man's struggle to control his destiny. The great Javier Bardem is fascinating to watch in his role as Ramon. His eyes and head movements leave little doubt what is going on in his mind. The dream and fantasy sequences are not overused so prove very effective in explaining why he wants what he wants. Rather than force us to answer the euthanasia question, the real question posed is , What is Love? At every turn we see people in love, looking for love or dying to be loved. The script is tight and keeps the film moving despite being filmed mostly in one room. The supporting cast is wonderful and we truly feel their pain and how each family member deals with Ramon's decision. This is a gem and deserves to be seen.",positive
"This movie deals with the European ERASMUS exchange program but more generally about the European youth. It is so true , that I don't know Klapisch did to reach such a masterpiece... Definitely one of my top 5 movies. It reminds me of the famous song ""This is my life, my life, life is life..."" 10/10",positive
